date,family,sales
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,810.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-01,BEVERAGES,0.0
2013-01-02,BEVERAGES,1091.0
2013-01-02,BEVERAGES,396.0
2013-01-02,BEVERAGES,3443.0
2013-01-02,BEVERAGES,682.0
2013-01-02,BEVERAGES,767.0
2013-01-02,BEVERAGES,744.0
2013-01-02,BEVERAGES,938.0
2013-01-02,BEVERAGES,389.0
2013-01-02,BEVERAGES,1011.0
2013-01-02,BEVERAGES,1089.0
2013-01-02,BEVERAGES,1220.0
2013-01-02,BEVERAGES,1481.0
2013-01-02,BEVERAGES,0.0
2013-01-02,BEVERAGES,0.0
2013-01-02,BEVERAGES,0.0
2013-01-02,BEVERAGES,838.0
2013-01-02,BEVERAGES,2312.0
2013-01-02,BEVERAGES,1373.0
2013-01-02,BEVERAGES,470.0
2013-01-02,BEVERAGES,1540.0
2013-01-02,BEVERAGES,786.0
2013-01-02,BEVERAGES,0.0
2013-01-02,BEVERAGES,4486.0
2013-01-02,BEVERAGES,377.0
2013-01-02,BEVERAGES,951.0
2013-01-02,BEVERAGES,213.0
2013-01-02,BEVERAGES,758.0
2013-01-02,BEVERAGES,1340.0
2013-01-02,BEVERAGES,682.0
2013-01-02,BEVERAGES,0.0
2013-01-02,BEVERAGES,1119.0
2013-01-02,BEVERAGES,719.0
2013-01-02,BEVERAGES,928.0
2013-01-02,BEVERAGES,1545.0
2013-01-02,BEVERAGES,483.0
2013-01-02,BEVERAGES,628.0
2013-01-02,BEVERAGES,0.0
2013-01-02,BEVERAGES,1137.0
2013-01-02,BEVERAGES,5466.0
2013-01-02,BEVERAGES,4070.0
2013-01-02,BEVERAGES,3459.0
2013-01-02,BEVERAGES,3840.0
2013-01-02,BEVERAGES,1966.0
2013-01-02,BEVERAGES,3133.0
2013-01-02,BEVERAGES,947.0
